user_id,product_id,event_type,rating,timestamp,source
amazon-u001,B082ZC3V8Q,view,3.9,1735689600,amazon_metadata_weak_label
amazon-u001,B09C7NPPGF,view,3.4,1735690620,amazon_metadata_weak_label
amazon-u001,B087ZR713Q,view,3.8,1735691640,amazon_metadata_weak_label
amazon-u001,B01HTIQC66,view,3.6,1735692660,amazon_metadata_weak_label
amazon-u001,B0B4R7QLP9,like,4.6,1735693680,amazon_metadata_weak_label
amazon-u001,B0BN3WZX63,like,4.3,1735694700,amazon_metadata_weak_label
amazon-u001,B09VXDNTJZ,like,4.3,1735695720,amazon_metadata_weak_label
amazon-u001,B002AYY5AA,view,3.7,1735696740,amazon_metadata_weak_label
amazon-u001,B07Y8T5GTV,view,3.3,1735697760,amazon_metadata_weak_label
amazon-u002,B07Z49ZVMJ,like,4.1,1735776000,amazon_metadata_weak_label
amazon-u002,B0BN8GSVZV,view,3.8,1735777020,amazon_metadata_weak_label
amazon-u002,B07RPQVH21,like,4.2,1735778040,amazon_metadata_weak_label
amazon-u002,B0B69K8XNX,view,3.9,1735779060,amazon_metadata_weak_label
amazon-u002,B09X1B56ST,like,4.3,1735780080,amazon_metadata_weak_label
amazon-u002,B0BFXX2V21,like,4.2,1735781100,amazon_metadata_weak_label
amazon-u002,B081PKBK23,purchase,4.9,1735782120,amazon_metadata_weak_label
amazon-u002,B000G14VL2,view,3.0,1735783140,amazon_metadata_weak_label
amazon-u002,B00A493CNY,view,2.8,1735784160,amazon_metadata_weak_label
amazon-u003,B0B9WT49P2,like,4.3,1735862400,amazon_metadata_weak_label
amazon-u003,B07BFC84CD,like,4.7,1735863420,amazon_metadata_weak_label
amazon-u003,B0156IRMEC,like,4.3,1735864440,amazon_metadata_weak_label
amazon-u003,B00F5N99MC,like,4.5,1735865460,amazon_metadata_weak_label
amazon-u003,B09QJRTQ5C,view,3.9,1735866480,amazon_metadata_weak_label
amazon-u003,B091THDX36,dislike,2.0,1735867500,amazon_metadata_weak_label
amazon-u003,B00083B6DE,view,3.2,1735868520,amazon_metadata_weak_label
amazon-u004,B09M38NCNK,like,4.2,1735948800,amazon_metadata_weak_label
amazon-u004,B08FTB1SJD,like,4.2,1735949820,amazon_metadata_weak_label
amazon-u004,B08K79RMGT,like,4.0,1735950840,amazon_metadata_weak_label
amazon-u004,B07FWNKL9S,purchase,4.8,1735951860,amazon_metadata_weak_label
amazon-u004,B07596JRNN,like,4.5,1735952880,amazon_metadata_weak_label
amazon-u004,B00GFW1LWI,view,3.6,1735953900,amazon_metadata_weak_label
amazon-u004,B00KO8RLZ0,view,3.3,1735954920,amazon_metadata_weak_label
amazon-u005,B01HME9RX2,like,4.0,1736035200,amazon_metadata_weak_label
amazon-u005,B0753Y5RTG,view,3.9,1736036220,amazon_metadata_weak_label
amazon-u005,B0BKFX6FWW,like,4.0,1736037240,amazon_metadata_weak_label
amazon-u005,B0915C35CH,like,4.0,1736038260,amazon_metadata_weak_label
amazon-u005,B07GTX1VM7,view,3.4,1736039280,amazon_metadata_weak_label
amazon-u005,B07XFQGPCG,purchase,4.9,1736040300,amazon_metadata_weak_label
amazon-u005,B093GWXVC4,purchase,4.8,1736041320,amazon_metadata_weak_label
amazon-u005,B07CRQDTKM,like,4.1,1736042340,amazon_metadata_weak_label
amazon-u005,B0B63CZYM7,view,3.5,1736043360,amazon_metadata_weak_label
amazon-u005,B09C7NPPGF,view,3.0,1736044380,amazon_metadata_weak_label
amazon-u006,B07R51VM88,purchase,4.9,1736121600,amazon_metadata_weak_label
amazon-u006,B07FSCXVB2,like,4.1,1736122620,amazon_metadata_weak_label
amazon-u006,B0C4TN4PMX,like,4.2,1736123640,amazon_metadata_weak_label
amazon-u006,B07SBM8FXX,purchase,4.9,1736124660,amazon_metadata_weak_label
amazon-u006,B00Q4U5CMG,like,4.3,1736125680,amazon_metadata_weak_label
amazon-u006,B00T3MIULW,like,4.0,1736126700,amazon_metadata_weak_label
amazon-u006,B074KMVZX4,view,3.8,1736127720,amazon_metadata_weak_label
amazon-u006,B000RE50FO,view,2.9,1736128740,amazon_metadata_weak_label
amazon-u006,B00XISYQ06,view,3.7,1736129760,amazon_metadata_weak_label
amazon-u007,B0BB28524R,purchase,4.8,1736208000,amazon_metadata_weak_label
amazon-u007,B08ZJCX66L,view,3.8,1736209020,amazon_metadata_weak_label
amazon-u007,B08WZKW17G,like,4.6,1736210040,amazon_metadata_weak_label
amazon-u007,B0024KLGA2,like,4.3,1736211060,amazon_metadata_weak_label
amazon-u007,B003YVP55W,like,4.2,1736212080,amazon_metadata_weak_label
amazon-u007,B00VBTJCJE,view,3.4,1736213100,amazon_metadata_weak_label
amazon-u007,B09PDQ76HP,view,3.7,1736214120,amazon_metadata_weak_label
amazon-u008,B0BY2KTRS9,like,4.3,1736294400,amazon_metadata_weak_label
amazon-u008,B08K79RMGT,view,3.9,1736295420,amazon_metadata_weak_label
amazon-u008,B07ZPSG8P5,like,4.4,1736296440,amazon_metadata_weak_label
amazon-u008,B09FXT9KS4,like,4.6,1736297460,amazon_metadata_weak_label
amazon-u008,B0BLRLXVP1,like,4.4,1736298480,amazon_metadata_weak_label
amazon-u008,B0BT9Q4CPB,view,3.9,1736299500,amazon_metadata_weak_label
amazon-u008,B091C7JXZ9,like,4.0,1736300520,amazon_metadata_weak_label
amazon-u008,B08NTSTMMS,like,4.0,1736301540,amazon_metadata_weak_label
amazon-u008,B00YQAP7BW,like,4.1,1736302560,amazon_metadata_weak_label
amazon-u008,B000G14VL2,view,3.8,1736303580,amazon_metadata_weak_label
amazon-u009,B094GSCMXQ,view,3.6,1736380800,amazon_metadata_weak_label
amazon-u009,B07NWTB6P1,like,4.7,1736381820,amazon_metadata_weak_label
amazon-u009,B07MY92X3G,like,4.5,1736382840,amazon_metadata_weak_label
amazon-u009,B0BCH69C79,view,3.8,1736383860,amazon_metadata_weak_label
amazon-u009,B0971F6QYN,like,4.2,1736384880,amazon_metadata_weak_label
amazon-u009,B0BT9Q4CPB,view,3.7,1736385900,amazon_metadata_weak_label
amazon-u009,B09Q89F8CG,like,4.1,1736386920,amazon_metadata_weak_label
